chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL158320;Mus musculus;CCOC(=O)NC1=NC(c2ccccc2)CN1C;200.0
CHEMBL158317;Mus musculus;CS/C(=C\c1cccc[n+]1C)N1CCOCC1.[I-];50.0
CHEMBL158142;Mus musculus;CC1=C(C(=O)Nc2c(Cl)cccc2Cl)SC2=NCCN21;60.0
CHEMBL158120;Mus musculus;COC(=O)NC1=NC(c2cc(C)ccc2C)CN1;700.0
CHEMBL158068;Mus musculus;COC(=O)NC1=NC(c2ccccc2F)CN1C;254.0
CHEMBL15805;Mus musculus;CC1(C)C=C(C(=O)NCCCNC(=O)Cc2ccccc2)C(C)(C)N1;54.0
CHEMBL15802;Mus musculus;CC1(C)C=C(C(=O)NCCCNCc2ccccc2)C(C)(C)N1;26.0
CHEMBL157920;Rattus norvegicus;Cn1c(-c2ccc3c(c2)OCO3)nc2c3ccccc3ccc21;1000.0
CHEMBL157895;Rattus norvegicus;Cn1c(-c2ccccc2O)nc2c3ccccc3ccc21;500.0
CHEMBL157872;Mus musculus;NC1=NCC(c2ccccc2)CN1;42.0
CHEMBL157851;Rattus norvegicus;Cc1ccc(-c2nc3c4ccccc4ccc3n2C)cc1;1000.0
CHEMBL157768;Rattus norvegicus;CC(=O)Oc1ccc(-c2nc3c4ccccc4ccc3n2C)cc1;1000.0
CHEMBL157675;Mus musculus;COC(=O)NC1=NC(c2ccccc2F)CN1;255.0
CHEMBL15765;Mus musculus;CC1(C)C=C(C(=O)NCCCNCc2ccc(Oc3ccccc3)cc2)C(C)(C)N1;23.0
CHEMBL157600;Mus musculus;CC(C)OC(=O)NC1=NC(c2ccccc2F)CN1C;700.0
CHEMBL15760;Mus musculus;CC1(C)C=C(C(=O)NC(c2ccccc2)c2ccccc2)C(C)(C)N1;63.0
CHEMBL15759;Mus musculus;COc1ccc(CNCCNC(=O)C2=CC(C)(C)NC2(C)C)cc1OC;61.0
CHEMBL157549;Rattus norvegicus;CNc1ccc(-c2nc3c4ccccc4ccc3n2C)cc1;500.0
CHEMBL157520;Rattus norvegicus;CCCCn1c(-c2ccc(OC)cc2)nc2c3ccccc3ccc21;1000.0
CHEMBL15751;Mus musculus;CC(=O)Nc1ccc(CNCCNC(=O)C2=CC(C)(C)NC2(C)C)cc1;25.0
CHEMBL157494;Mus musculus;CC1=C(C(=O)Nc2ccccc2F)SC2=NCCN21;100.0
CHEMBL15743;Mus musculus;CCc1nc2ccccc2c(=O)n1CCCNC(=O)C1=CC(C)(C)NC1(C)C;13.0
CHEMBL15742;Mus musculus;C=CCOc1ccccc1CNCCCNC(=O)C1CC(C)(C)NC1(C)C;13.0
CHEMBL15737;Mus musculus;CC1(C)C=C(C(=O)NCCCNCc2cccc(O)c2)C(C)(C)N1;17.0
CHEMBL15736;Mus musculus;Cc1cccc(C)c1NC(=O)C(C)NCCNC(=O)C1=CC(C)(C)NC1(C)C;39.0
CHEMBL157359;Mus musculus;COC(=O)NC1=NC(c2ccccc2Cl)CN1;500.0
CHEMBL157310;Mus musculus;COC(=O)NC1=NC(c2ccc(CO)cc2)CN1C;1000.0
CHEMBL157257;Mus musculus;COC(=O)NC1=NC(c2cccc(Cl)c2)CN1;300.0
CHEMBL157239;Rattus norvegicus;COc1ccc(-c2nc3c4ccccc4ccc3n2CCO)cc1;1000.0
CHEMBL1571712;Mus musculus;O=C1CC(c2ccccc2)c2ccccc21;1600.0
CHEMBL15715;Mus musculus;Cc1cccc(C)c1NC(=O)C1=CC(C)(C)NC1(C)C;6.0
CHEMBL157126;Rattus norvegicus;CCn1c(-c2ccc(OC)cc2)nc2c3ccccc3ccc21;1000.0
CHEMBL157088;Mus musculus;COC(=O)NC1=NCC(c2cccc(Cl)c2)N1C;200.0
CHEMBL15708;Mus musculus;CC1(C)C=C(C(=O)NCCCNC(=O)COc2ccccc2)C(C)(C)N1;49.0
CHEMBL157075;Mus musculus;COC(=O)NC1=NCC2(CCc3ccccc32)N1C;300.0
CHEMBL157044;Mus musculus;CSC(=Cc1cccc[n+]1C)SC.[I-];30.0
CHEMBL15699;Mus musculus;COc1cc(CNCCCNC(=O)C2=CC(C)(C)NC2(C)C)cc(OC)c1OC;22.0
CHEMBL156959;Mus musculus;NC1=C(Cl)C(=O)c2ccccc2C1=O;800.0
